pop,area,y,placeholder
4263,822056.0896350265,33.78729797549962,1
3112,1138944.5713640589,33.88051394862657,1
5530,1308436.5818849627,36.725015240343495,1
2992,690741.5485294895,33.998379281616636,1
2133,135654.06668846082,34.05636711037107,1
8589,3709585.2569526634,36.47197935028379,1
2989,623667.5768921977,33.81415995432974,1
2743,459112.3286409453,33.94563027817678,1
2746,872510.9826687153,34.022477670521674,1
4692,2017648.2069904888,37.66215199849165,1
5304,1775261.4311490082,33.89252840325298,1
6442,1271969.4021844785,33.98568970001811,1
2683,903137.1141046602,34.047850866804666,1
1490,429578.6222302201,32.585575212127445,1
6607,2402989.7276032367,38.67104145190656,1
1713,464273710.5671357,38.54224029524901,1
6085,1616402.165720397,33.91106523976291,1
3534,3520836.3073109,34.08056658990266,1
4934,660306.6763215283,34.1104691909382,1
4843,1540650.3220848334,34.01410155910657,1
5129,993574.6986837804,34.04082737999116,1
4451,1034220.601657315,32.75195955670587,1
3914,508915.28143193497,33.97852041640554,1
4249,312714.67391422356,37.45616700942598,1
2825,327516.1762691266,34.237166627994334,1
5224,1358525.5810740616,33.862262233046415,1
5468,1547094.6869722924,33.87220314332541,1
4498,3257025.0178311276,34.05578376068077,1
2983,1302295.4879086236,36.81944845230693,1
4460,4329016.435378198,32.64083017445147,1
2649,2624683.2422298836,37.353447033039664,1
5147,1125647.525082447,38.02444926473158,1
4730,995137.4626453428,32.69773816878969,1
3893,292881.67771562195,37.76546457488533,1
3712,1445859.8236471338,34.30615049580587,1
1355,9487031.812349685,33.63236530770186,1
3549,1117055.2775622045,33.9241746990353,1
3489,981695.15704469,33.933624271167126,1
3688,1308282.2845289442,38.614235811094495,1
3106,4982127.7722410085,32.966019746478175,1
3737,710382.3859700037,34.64314122757905,1
2712,1006745.8095717514,37.34014238875262,1
4516,1264916.1960790027,33.81841627610328,1
2414,1317748.2406628695,33.967125428426094,1
3907,2013198.203330716,33.75310584893378,1
4401,2268461.8193986784,35.389432617296244,1
5090,306302.0877793668,34.050730052480525,1
4039,4176447479.440646,37.70392805484701,1
5478,2202380.1683769966,38.40101124886971,1
6133,5773471.464979188,34.3235359114152,1
3878,159284.52769987134,34.059799187102996,1
3089,543249.3594710656,33.99853479996427,1
6934,2428965.9757516603,33.677889946690684,1
5378,1301485.246009464,33.73756380765407,1
6253,5301975.37809749,38.87590706180951,1
5093,632386.1478070576,33.95655155637395,1
3074,820851.4731069442,33.935463113175274,1
2606,206780.5393453062,34.050558553501105,1
4372,1474385.3239161312,34.11059076379965,1
3511,614522.6099572397,34.192196201124126,1
6473,1289133.3171397715,33.788891089561396,1
3083,438988.97171992506,34.03515230375848,1
3284,1537367.6306083985,38.421139950939896,1
5567,3054966.411908604,35.122172719039284,1
4303,324326.66156404483,34.06970080473186,1
7538,4554665.050880475,37.73476481264744,1
4096,1049830353.899126,40.505340343685155,1
2595,669951.1162317297,34.01259796622638,1
5341,700500.8660639884,34.0685453426087,1
5058,1272546.5655378164,33.808014752557504,1
3998,1245529078.572158,38.87697801814414,1
2968,1145880.9274021566,38.70261647832302,1
3948,502783.5298615075,37.47888724006563,1
2050,419083.6646258144,37.787824881384424,1
5638,651460.9909690844,34.02184051473119,1
1591,729232.3294038085,34.07045030918802,1
1708,265181.13086856576,32.70880732100963,1
4026,488755.4902902501,33.849985085936716,1
5643,6324783.547310819,34.857192706880156,1
3020,287484.232970394,34.20449244376966,1
2519,190749.90669920927,33.982882021944505,1
4712,1247426.0046741357,37.292727298746115,1
3097,826960.9172876488,34.087608847380885,1
2728,340282.61661725095,33.97833591964536,1
2323,1036093.6603542542,36.619040301909926,1
3374,879516.3459137859,34.015207989870746,1
2891,2062841.8284934787,33.80906645655811,1
5552,7582904.178169072,34.043731408153455,1
2287,324538.29115143634,34.18122885715956,1
4735,493989.4606959409,34.238913985754074,1
4304,960143.186311794,33.906569904578504,1
5568,3911943.857662487,35.59055247030996,1
5780,861641.8964403317,37.78794800684022,1
1790,2091656581.8164077,37.94050948330703,1
2398,1427126.7202021214,38.01516543073795,1
1920,1190268.415844777,34.22505512788687,1
7266,1872081.599173068,38.455525922696566,1
3975,4749744.934008044,32.826600391153505,1
2760,2493910.233648779,32.868500758235875,1
2979,2625610.4317612085,33.8086987215538,1
4394,2047122.203376623,38.48842838136416,1
4688,3184845.718772967,34.155864741618316,1
4128,1319194.5376167083,36.739501618633646,1
2945,442720.4718604798,37.65509775104376,1
4882,1319887.2765677515,34.189974241363146,1
2408,739299.7528533927,34.0266306078107,1
2249,561681.1310236681,36.6199075168035,1
5084,2266391.0122023337,36.203966248906085,1
3401,664092.0409766752,33.14612319862997,1
3952,661457.9739508117,34.035007105329036,1
2378,292209.2900133391,33.91106719308392,1
4250,506779.9359443642,34.09031620704162,1
4008,683840.3894392835,34.0798577110621,1
5155,631442.1405608646,32.744806644583726,1
3002,921262.3701241992,37.402820091399455,1
3746,2935840.146885528,33.05863406499763,1
2239,1310955.7692346305,33.95352154307932,1
4080,1203912.6027592304,34.013356670590426,1
6331,1481896.5779355562,33.8716114964706,1
2977,1243274.2057271162,36.66465071419408,1
2796,907843.7204801128,34.017526589251915,1
4681,2326583.6298940517,34.20333167537645,1
2866,685761.99979397,33.790194622562495,1
2819,1450716.9294510735,34.141521422850204,1
6526,5174692.6757207,38.39450295864054,1
4956,971716.145534609,37.439451835368935,1
6097,1542531.887492035,38.61203750933684,1
3088,958210.3377080924,34.21925350526976,1
5241,2476542.2756249905,34.16404562242405,1
3065,1188299.662229945,35.34962866595064,1
1938,2658542.6021544724,34.19381513285952,1
6629,6844361.510320731,38.0176301465584,1
4409,655700.4583923671,33.810629043426644,1
6265,1807482.4271304756,38.44651773031982,1
2061,818978.5883178342,33.98027238907953,1
3672,1290042.1570095276,33.844123022043874,1
2104,2850101.9708164246,34.05510595418526,1
4975,908706.619813669,34.021200563951055,1
1727,550673.6256826886,37.79050036742984,1
2887,764630.3093475264,34.11640779824539,1
2677,1454679.3617126553,38.00946903493125,1
4578,476540.0573392554,37.87523396768004,1
2863,2637882.29679858,36.34988978081959,1
2897,180685.48962301124,37.80196095775725,1
5873,817366.9492841695,33.75751406718391,1
2632,981183.6593061374,38.48688716882919,1
6508,1067981.613601862,33.84779430951654,1
6240,1073711.6675436925,37.31228140678249,1
4672,2828598.8179816566,35.391431765091944,1
3813,811904.3958609906,33.70969038005301,1
3079,338929.3729361651,37.75313737898397,1
3339,1672434.2160349705,33.74402541246076,1
3837,264597192.0590896,37.049932770888674,1
4825,1933023.947817744,36.81448403308113,1
3129,321618.34788866516,34.042072746912595,1
5130,1356281.5590421872,37.908755809972135,1
2305,142096.30607958967,37.80277927730483,1
4149,2198910.1322596264,36.353987573123376,1
6643,959875.169472211,32.797704063145105,1
3147,466830.5469395219,33.89770099077011,1
1933,10058138.018146103,35.32413910625422,1
7419,756747.4872449567,33.95514467114001,1
1203,546800.0674133376,37.76811048750785,1
3529,789331.9859714881,33.928095506485285,1
3444,906648.3179710936,34.14834755211099,1
5137,2120495.3562207227,34.10828265769212,1
3218,624144.3558609644,37.46656678053429,1
2571,644074.2529718234,36.725010897704024,1
3968,404302.2526760184,37.73270175381311,1
2616,892209.7532030381,36.61261282642207,1
3216,306290.6129156305,37.75175518072731,1
2832,184942.31250404223,34.06350596502369,1
4954,2869218.5656438405,34.37154672333927,1
2312,721837.3531737678,33.25932351992661,1
3216,162409756.37296084,38.12892220994535,1
3514,1348688.265917495,36.30580063968262,1
4552,360731.5487468627,37.762812408461926,1
3961,1954892.8719327063,34.26562486173248,1
5074,2584718.0080972156,34.18336057218314,1
3559,531127.5311913983,34.25790439139657,1
2310,1543726.4952509787,38.569432222314205,1
3756,576104.6225023752,34.04705811388293,1
4907,640201.4863254917,34.197510483381386,1
3196,975953.6311921026,33.98542826486876,1
2568,276696.58464717795,34.01803897552372,1
4105,1760490.5195107702,37.74501713153425,1
2989,1055767.2452567653,34.44627700649026,1
3402,637532.3553542644,33.81833975918527,1
4115,1436435.0079162885,35.33593838760121,1
5399,1985959.381286953,33.95167128402123,1
4407,3016470.403662194,38.54270566791077,1
3626,604011.0733482774,33.94468886045678,1
3015,683181.2270901852,34.18857293497751,1
4567,1919696.472043723,37.32060484735739,1
4331,1947286.2278776,33.82691566365072,1
2464,1366097.1365193245,37.513388460519074,1
7856,2671981.2025126275,37.02455182859287,1
7286,1307920.6012942586,33.89120764938522,1
2866,1465214.7965648784,37.81193174971085,1
4603,1406855.5119272997,33.707461727852326,1
4617,510426.0814629343,34.07030788757842,1
5254,1776851.4434291786,33.62357795305657,1
5084,1106937.4196211405,33.80153736297425,1
2767,661113.6197629515,33.93451353359118,1
2921,870798.1481317634,33.88279854813381,1
4043,3474405.6607807437,37.79281427935254,1
2740,1405607.7932953672,38.00574626938261,1
2331,186864.62272922415,37.80130090095477,1
